Title,Price,Bedrooms,Bathrooms,Areas,Location,Url
"RENOVATED Double Storey Terrace House PRESINT 11, PUTRAJAYA",RM 675 000,5 Bedrooms,3 Bathrooms,2100 sq.ft.,Putrajaya,https://www.mudah.my/RENOVATED+Double+Storey+Terrace+House+PRESINT+11+PUTRAJAYA-88509125.htm
3 Storey Hyperlink Terrace Duta Villa Presint 14 Putrajaya,RM 1 300 000,6 Bedrooms,6 Bathrooms,3950 sq.ft.,Putrajaya,https://www.mudah.my/3+Storey+Hyperlink+Terrace+Duta+Villa+Presint+14+Putrajaya-88513196.htm
"END LOT 2 Sty Terrace, Presint 14, Putrajaya FULLY RENOVATED",RM 850 000,4 Bedrooms,3 Bathrooms,2185 sq.ft.,Putrajaya,https://www.mudah.my/END+LOT+2+Sty+Terrace+Presint+14+Putrajaya+FULLY+RENOVATED-88586457.htm
[Booking 2k] NEW 3 STOREY Terrace 5min to Desa Pinggiran Putra 5R5B,RM 646 000,5 Bedrooms,5 Bathrooms,2650 sq.ft.,Putrajaya,https://www.mudah.my/+Booking+2k+NEW+3+STOREY+Terrace+5min+to+Desa+Pinggiran+Putra+5R5B-87254475.htm
"SUPERB ! - 2Sty House ( END LOT) + ( RENOVATED) PRESINT 14, Putrajaya",RM 850 000,4 Bedrooms,3 Bathrooms,1900 sq.ft.,Putrajaya,https://www.mudah.my/SUPERB+2Sty+House+END+LOT+RENOVATED+PRESINT+14+Putrajaya-85641650.htm
[3 MIN TO MEX!] Rebates 55% High Cash Back! BIG 2-Storey Freehold 4R4B,RM 483 000,4 Bedrooms,4 Bathrooms,3888 sq.ft.,Putrajaya,https://www.mudah.my/+3+MIN+TO+MEX+Rebates+55+High+Cash+Back+BIG+2+Storey+Freehold+4R4B-87924915.htm
Rumah Baru di KLIA,RM 390 600,4 Bedrooms,3 Bathrooms,1200 sq.ft.,Putrajaya,https://www.mudah.my/Rumah+Baru+di+KLIA-86096685.htm
"1.5 Storey Hybrid Landed, Town Villa Putrajaya",RM 445 116,4 Bedrooms,4 Bathrooms,2175 sq.ft.,Putrajaya,https://www.mudah.my/1+5+Storey+Hybrid+Landed+Town+Villa+Putrajaya-86896966.htm
[Below Market Value] HOC Freehold Big Landed 32x90 Superlink Putrajaya,RM 412 000,4 Bedrooms,4 Bathrooms,3488 sq.ft.,Putrajaya,https://www.mudah.my/+Below+Market+Value+HOC+Freehold+Big+Landed+32x90+Superlink+Putrajaya-87924901.htm
"[FULLY FURNISH, BIG LAND] Terrace 2 Storey, Presint 14, Putrajaya",RM 965 000,4 Bedrooms,3 Bathrooms,2500 sq.ft.,Putrajaya,https://www.mudah.my/+FULLY+FURNISH+BIG+LAND+Terrace+2+Storey+Presint+14+Putrajaya-88404293.htm
"[RENOVATED, END LOT, FULLY FURNISHED] 2 Storey Terrace, Presint 14",RM 850 000,4 Bedrooms,3 Bathrooms,2185 sq.ft.,Putrajaya,https://www.mudah.my/+RENOVATED+END+LOT+FULLY+FURNISHED+2+Storey+Terrace+Presint+14-88547790.htm
FLEXIBLE DEPOSIT | Double Storey Terrace House Presint 11 Putrajaya,RM 675 000,4 Bedrooms,3 Bathrooms,2100 sq.ft.,Putrajaya,https://www.mudah.my/FLEXIBLE+DEPOSIT+Double+Storey+Terrace+House+Presint+11+Putrajaya-88581595.htm
RUMAH UNTUK DIJUAL DI PUTRAJAYA Semi D 3 Storey Lake View Putrajaya,RM 1 980 000,6 Bedrooms,6 Bathrooms,4090 sq.ft.,Putrajaya,https://www.mudah.my/RUMAH+UNTUK+DIJUAL+DI+PUTRAJAYA+Semi+D+3+Storey+Lake+View+Putrajaya-87269587.htm
